"","성별","연도","교육","직종","지역","월급","나이","연령대"
"1","여",1945,4,NA,1,NA,76,"노년"
"2","남",1948,3,942,1,167,73,"노년"
"3","남",1942,7,762,1,78,79,"노년"
"4","남",1962,6,532,1,NA,59,"노년"
"5","여",1963,5,NA,1,NA,58,"노년"
"6","여",2003,5,NA,1,NA,18,"초년"
"7","남",1927,4,NA,1,NA,94,"노년"
"8","여",1934,4,941,1,27,87,"노년"
"9","여",1940,3,999,2,27,81,"노년"
"10","여",1970,5,NA,1,NA,51,"노년"
"11","여",1992,4,NA,1,NA,29,"초년"
"12","남",1940,4,NA,1,NA,81,"노년"
"13","여",1941,2,NA,1,NA,80,"노년"
"14","남",1962,6,NA,1,NA,59,"노년"
"15","남",1978,7,521,1,NA,43,"중년"
"16","여",1975,7,254,1,200,46,"중년"
"17","여",2004,4,NA,1,NA,17,"초년"
"18","여",2008,3,NA,1,NA,13,"초년"
"19","남",1941,5,NA,1,NA,80,"노년"
"20","여",1942,3,510,1,100,79,"노년"
"21","남",1964,3,NA,1,NA,57,"노년"
"22","남",1975,7,521,1,NA,46,"중년"
"23","여",1962,5,941,1,188,59,"노년"
"24","여",1985,7,313,1,198,36,"중년"
"25","남",1992,5,442,1,261,29,"초년"
"26","남",1952,5,NA,1,NA,69,"노년"
"27","여",1961,4,951,1,NA,60,"노년"
"28","여",1982,6,531,1,NA,39,"중년"
"29","남",1984,7,531,1,NA,37,"중년"
"30","남",1971,7,873,7,300,50,"중년"
"31","남",1943,3,NA,1,NA,78,"노년"
"32","여",1945,3,NA,1,NA,76,"노년"
"33","남",1975,2,NA,1,NA,46,"중년"
"34","남",1972,7,281,1,30,49,"중년"
"35","여",1974,6,320,1,585,47,"중년"
"36","여",2006,4,NA,1,NA,15,"초년"
"37","여",2006,4,NA,1,NA,15,"초년"
"38","여",1954,4,421,1,302,67,"노년"
"39","여",1941,3,NA,1,NA,80,"노년"
"40","남",1972,7,313,1,260,49,"중년"
"41","여",1973,7,999,1,417,48,"중년"
"42","남",2004,4,NA,1,NA,17,"초년"
"43","남",1926,5,NA,1,NA,95,"노년"
"44","여",1936,3,NA,1,NA,85,"노년"
"45","남",1968,5,842,2,189,53,"노년"
"46","여",1940,2,NA,2,NA,81,"노년"
"47","여",1982,5,NA,2,NA,39,"중년"
"48","남",1976,5,873,2,330,45,"중년"
"49","남",2010,3,NA,2,NA,11,"초년"
"50","여",2012,3,NA,2,NA,9,"초년"
"51","여",1937,3,NA,1,NA,84,"노년"
"52","남",1959,4,852,1,280,62,"노년"
"53","여",1967,5,930,1,130,54,"노년"
"54","여",1995,5,NA,1,NA,26,"초년"
"55","여",1998,5,521,1,180,23,"초년"
"56","남",1955,4,941,1,160,66,"노년"
"57","여",1958,5,NA,1,NA,63,"노년"
"58","남",1982,6,521,1,260,39,"중년"
"59","남",1968,5,312,1,695,53,"노년"
"60","여",1970,5,272,1,NA,51,"노년"
"61","남",1994,5,NA,1,NA,27,"초년"
"62","남",1999,7,NA,1,NA,22,"초년"
"63","남",1973,8,312,1,767,48,"중년"
"64","여",1975,7,NA,1,NA,46,"중년"
"65","남",2004,4,NA,1,NA,17,"초년"
"66","여",2007,3,NA,1,NA,14,"초년"
"67","남",1950,5,991,5,318,71,"노년"
"68","여",1956,5,941,5,150,65,"노년"
"69","남",1930,4,NA,1,NA,91,"노년"
"70","여",1938,3,NA,1,NA,83,"노년"
"71","여",1962,4,422,1,NA,59,"노년"
"72","여",1991,6,422,1,200,30,"중년"
"73","여",1959,7,NA,1,NA,62,"노년"
"74","여",1989,8,285,1,250,32,"중년"
"75","여",1995,6,812,1,160,26,"초년"
"76","여",1997,7,521,1,NA,24,"초년"
"77","여",1982,5,930,5,200,39,"중년"
"78","여",1985,5,441,5,260,36,"중년"
"79","여",1957,5,921,5,50,64,"노년"
"80","남",1975,5,761,5,705,46,"중년"
"81","남",1947,7,851,1,188,74,"노년"
"82","여",1956,5,941,1,185,65,"노년"
"83","남",1980,7,235,1,691,41,"중년"
"84","남",1954,4,NA,1,NA,67,"노년"
"85","여",1960,4,NA,1,NA,61,"노년"
"86","남",1978,6,312,1,458,43,"중년"
"87","여",1983,6,442,1,200,38,"중년"
"88","남",1981,6,442,1,NA,40,"중년"
"89","여",1946,5,NA,1,NA,75,"노년"
"90","남",1965,5,721,1,NA,56,"노년"
"91","여",1968,5,721,1,NA,53,"노년"
"92","여",1998,5,NA,1,NA,23,"초년"
"93","여",2001,5,442,1,40,20,"초년"
"94","남",1958,5,772,1,NA,63,"노년"
"95","여",1959,5,532,1,25,62,"노년"
"96","남",1988,6,NA,1,NA,33,"중년"
"97","남",1991,6,921,1,289,30,"중년"
"98","여",1985,5,NA,2,NA,36,"중년"
"99","남",1979,6,753,2,292,42,"중년"
"100","남",2018,1,NA,2,NA,3,"초년"
"101","남",1960,4,941,1,230,61,"노년"
"102","여",1960,3,941,1,90,61,"노년"
"103","여",1989,6,NA,1,NA,32,"중년"
"104","남",1987,7,863,2,298,34,"중년"
"105","여",1986,5,NA,2,NA,35,"중년"
"106","남",2013,1,NA,2,NA,8,"초년"
"107","여",2017,1,NA,2,NA,4,"초년"
"108","남",1961,3,910,2,NA,60,"노년"
"109","여",1992,7,281,2,170,29,"초년"
"110","여",1996,7,521,2,50,25,"초년"
"111","여",1933,3,NA,2,NA,88,"노년"
"112","여",1937,4,NA,1,NA,84,"노년"
"113","여",1941,3,NA,1,NA,80,"노년"
"114","남",1936,4,NA,1,NA,85,"노년"
"115","여",1940,3,NA,1,NA,81,"노년"
"116","남",1957,4,792,1,NA,64,"노년"
"117","여",1960,3,NA,1,NA,61,"노년"
"118","남",1983,6,899,2,242,38,"중년"
"119","남",1950,3,873,1,234,71,"노년"
"120","여",1953,3,941,1,158,68,"노년"
"121","남",1962,5,431,1,NA,59,"노년"
"122","여",1963,5,951,1,110,58,"노년"
"123","여",1989,7,NA,1,NA,32,"중년"
"124","남",1992,6,799,1,308,29,"초년"
"125","남",1959,5,875,1,NA,62,"노년"
"126","여",1961,5,NA,1,NA,60,"노년"
"127","여",1990,7,312,1,275,31,"중년"
"128","남",1954,6,862,1,200,67,"노년"
"129","여",1955,5,941,1,110,66,"노년"
"130","여",1989,6,243,1,258,32,"중년"
"131","남",1971,4,NA,1,NA,50,"중년"
"132","여",1977,5,NA,1,NA,44,"중년"
"133","여",2000,6,521,1,NA,21,"초년"
"134","남",2002,5,NA,1,NA,19,"초년"
"135","남",2004,4,NA,1,NA,17,"초년"
"136","여",2014,1,NA,1,NA,7,"초년"
"137","여",1939,2,NA,1,NA,82,"노년"
"138","여",1954,4,521,1,NA,67,"노년"
"139","남",1978,6,311,2,467,43,"중년"
"140","여",1982,6,NA,2,NA,39,"중년"
"141","여",2014,1,NA,2,NA,7,"초년"
"142","남",2016,1,NA,2,NA,5,"초년"
"143","남",1942,4,NA,1,NA,79,"노년"
"144","여",1949,3,NA,1,NA,72,"노년"
"145","남",1995,5,922,1,200,26,"초년"
"146","남",1998,7,NA,1,NA,23,"초년"
"147","여",1980,7,NA,1,NA,41,"중년"
"148","남",1980,7,222,1,528,41,"중년"
"149","여",2016,1,NA,1,NA,5,"초년"
"150","여",1943,4,941,1,60,78,"노년"
"151","남",1973,5,521,1,275,48,"중년"
"152","남",1960,5,314,1,383,61,"노년"
"153","여",1966,5,510,1,150,55,"노년"
"154","남",1994,7,222,1,280,27,"초년"
"155","여",1943,2,941,1,25,78,"노년"
"156","여",1971,7,259,1,NA,50,"중년"
"157","여",1998,7,521,1,65,23,"초년"
"158","여",1999,7,NA,1,NA,22,"초년"
"159","남",1968,7,799,1,509,53,"노년"
"160","남",1958,5,721,1,267,63,"노년"
"161","여",1958,4,951,1,NA,63,"노년"
"162","남",1986,6,313,1,230,35,"중년"
"163","여",1984,5,NA,1,NA,37,"중년"
"164","남",2013,1,NA,1,NA,8,"초년"
"165","남",1966,5,862,1,427,55,"노년"
"166","여",1968,7,521,1,117,53,"노년"
"167","남",2000,6,NA,1,NA,21,"초년"
"168","남",1959,5,741,1,255,62,"노년"
"169","여",1959,5,441,1,187,62,"노년"
"170","남",1960,7,941,1,179,61,"노년"
"171","여",1960,5,941,1,90,61,"노년"
"172","남",1988,6,510,1,254,33,"중년"
"173","남",1985,8,221,1,375,36,"중년"
"174","여",1960,3,951,1,98,61,"노년"
"175","남",1987,6,NA,1,NA,34,"중년"
"176","여",1943,5,941,1,111,78,"노년"
"177","여",1971,5,NA,1,NA,50,"중년"
"178","남",1959,4,873,1,NA,62,"노년"
"179","여",1965,3,442,1,80,56,"노년"
"180","남",1987,7,910,1,195,34,"중년"
"181","여",1988,7,313,1,260,33,"중년"
"182","남",1938,5,NA,1,NA,83,"노년"
"183","여",1939,3,NA,1,NA,82,"노년"
"184","남",1964,4,751,1,256,57,"노년"
"185","남",1969,7,312,1,270,52,"노년"
"186","여",1977,7,314,1,220,44,"중년"
"187","여",2006,4,NA,1,NA,15,"초년"
"188","남",2010,3,NA,1,NA,11,"초년"
"189","여",1939,3,NA,1,NA,82,"노년"
"190","여",1971,7,312,2,300,50,"중년"
"191","남",1966,9,251,2,166,55,"노년"
"192","남",2012,3,NA,2,NA,9,"초년"
"193","남",1965,2,NA,1,NA,56,"노년"
"194","여",1958,5,521,1,NA,63,"노년"
"195","남",1987,7,312,1,276,34,"중년"
"196","여",1942,3,941,1,27,79,"노년"
"197","남",1925,3,NA,1,NA,96,"노년"
"198","여",1936,3,NA,1,NA,85,"노년"
"199","여",1953,5,NA,1,NA,68,"노년"
"200","남",1978,7,753,1,583,43,"중년"
"201","여",1979,7,NA,1,NA,42,"중년"
"202","남",2009,3,NA,1,NA,12,"초년"
"203","남",2011,3,NA,1,NA,10,"초년"
"204","남",1979,7,312,2,831,42,"중년"
"205","여",1983,7,NA,2,NA,38,"중년"
"206","여",1946,3,NA,1,NA,75,"노년"
"207","남",1957,3,NA,1,NA,64,"노년"
"208","여",1934,3,941,1,27,87,"노년"
"209","여",1958,4,951,1,149,63,"노년"
"210","여",1983,7,320,1,833,38,"중년"
